================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.16:43351         <-> 192.168.1.23:60874             347 32 kB         408 214 kB        755 246 kB        0.000851000       119.5200
192.168.1.16:40970         <-> 129.204.22.74:30145             97 115 kB         97 6984 bytes     194 121 kB       13.743090000        92.1696
192.168.1.16:46738         <-> 8.148.243.225:30138             66 27 kB          44 15 kB         110 42 kB        81.165608000        36.9063
192.168.1.16:37672         <-> 193.112.105.63:30160            59 22 kB          49 13 kB         108 36 kB        30.398510000        55.5335
192.168.1.16:48510         <-> 139.159.218.87:30122            53 17 kB          52 14 kB         105 32 kB         0.000671000       112.1481
127.0.0.1:38228            <-> 127.0.0.1:60138                 59 19 kB          39 11 kB          98 31 kB        81.164070000        36.8976
127.0.0.1:47126            <-> 127.0.0.1:60122                 47 15 kB          45 11 kB          92 26 kB         0.000000000       112.1330
127.0.0.1:45246            <-> 127.0.0.1:60160                 49 14 kB          38 10 kB          87 24 kB        30.307497000        50.6178
192.168.1.16:40974         <-> 129.204.22.74:30145             37 31 kB          37 2664 bytes      74 34 kB        13.743063000        92.1699
192.168.1.16:38912         <-> 113.45.75.182:30145             37 13 kB          34 8070 bytes      71 22 kB        38.302275000        30.5723
81.71.20.84:443            <-> 192.168.1.16:38256              37 4821 bytes      30 4185 bytes      67 9006 bytes     0.626040000       110.1439
192.168.1.16:37116         <-> 114.132.204.167:30139           31 15 kB          32 6576 bytes      63 22 kB        37.261407000        40.4145
192.168.1.16:44076         <-> 8.138.207.84:30145              31 13 kB          31 6230 bytes      62 20 kB        27.232957000        87.2095
192.168.1.16:39982         <-> 193.112.105.63:30160            30 15 kB          31 6716 bytes      61 21 kB        80.751617000        30.4987
192.168.1.16:45064         <-> 43.139.233.86:30139             30 12 kB          30 6815 bytes      60 19 kB         6.624811000        49.3829
192.168.1.16:41162         <-> 113.45.75.182:30145             30 16 kB          30 7315 bytes      60 23 kB        87.943929000        29.2597
192.168.1.16:45202         <-> 42.193.229.107:30122            29 12 kB          30 5641 bytes      59 18 kB        12.301052000        95.3199
192.168.1.16:38774         <-> 113.46.128.79:30164             28 12 kB          29 5421 bytes      57 18 kB        25.640679000        60.2363
